Sample Number	Sample ID	Run	Series ID	Study Title	Species	Strain	Model	Library Strategy	Sample Name	Carbon Sources	Temperature
F01001001	GSM675519	SRR101401	GSE27323	Transcriptomic response to substrate and temperature in two thermophilic fungi, Myceliophthora thermophila and Thielavia terrestris, and a related mesophile, Chaetomium globosum	Thermothelomyces thermophilus 	ATCC 42464	Illumina Genome Analyzer II	RNA-Seq	Myceliophthora_thermophila_Barley_34C_rep1	Barley	34°
F01001002	GSM675520	SRR101402	GSE27323	Transcriptomic response to substrate and temperature in two thermophilic fungi, Myceliophthora thermophila and Thielavia terrestris, and a related mesophile, Chaetomium globosum	Thermothelomyces thermophilus 	ATCC 42464	Illumina Genome Analyzer II	RNA-Seq	Myceliophthora_thermophila_Barley_45C_rep1	Barley	45°
F01001003	GSM675521	SRR101403	GSE27323	Transcriptomic response to substrate and temperature in two thermophilic fungi, Myceliophthora thermophila and Thielavia terrestris, and a related mesophile, Chaetomium globosum	Thermothelomyces thermophilus 	ATCC 42464	Illumina Genome Analyzer II	RNA-Seq	Myceliophthora_thermophila_Glucose_45C_rep1	Glucose	45°
F01001004	GSM675522	SRR101404	GSE27323	Transcriptomic response to substrate and temperature in two thermophilic fungi, Myceliophthora thermophila and Thielavia terrestris, and a related mesophile, Chaetomium globosum	Thermothelomyces thermophilus 	ATCC 42464	Illumina Genome Analyzer II	RNA-Seq	Myceliophthora_thermophila_Alfalfa_45C_rep1	Alfalfa	45°
F01001005	GSM675523	SRR101405	GSE27323	Transcriptomic response to substrate and temperature in two thermophilic fungi, Myceliophthora thermophila and Thielavia terrestris, and a related mesophile, Chaetomium globosum	Thermothelomyces thermophilus 	ATCC 42464	Illumina Genome Analyzer II	RNA-Seq	Myceliophthora_thermophila_Barley_45C_rep1	Barley	45°
F01001006	GSM675524	SRR101406	GSE27323	Transcriptomic response to substrate and temperature in two thermophilic fungi, Myceliophthora thermophila and Thielavia terrestris, and a related mesophile, Chaetomium globosum	Thermothelomyces thermophilus 	ATCC 42464	Illumina Genome Analyzer II	RNA-Seq	Myceliophthora_thermophila_Glucose_34C_rep1	Glucose	34°
F01001007	GSM675525	SRR101407	GSE27323	Transcriptomic response to substrate and temperature in two thermophilic fungi, Myceliophthora thermophila and Thielavia terrestris, and a related mesophile, Chaetomium globosum	Thermothelomyces thermophilus 	ATCC 42464	Illumina Genome Analyzer II	RNA-Seq	Myceliophthora_thermophila_Glucose_45C_rep2	Glucose	45°
F01002001	GSM5556624	SRR15712859	GSE183387	Transcriptomic insights into the roles of the transcription factors Clr1, Clr2 and Clr4 in lignocellulose degradation of the thermophilic fungal platform Thermothelomyces thermophilus	Thermothelomyces thermophilus 	MJK20.3	NextSeq 500	RNA-Seq	MJK20.3_Parental_ex_R1	Glucose	45°
F01002001	GSM5556625	SRR15712860	GSE183387	Transcriptomic insights into the roles of the transcription factors Clr1, Clr2 and Clr4 in lignocellulose degradation of the thermophilic fungal platform Thermothelomyces thermophilus	Thermothelomyces thermophilus 	MJK20.3	NextSeq 500	RNA-Seq	MJK20.3_Parental_ex_R2	Glucose	45°
F01002002	GSM5556626	SRR15712861	GSE183387	Transcriptomic insights into the roles of the transcription factors Clr1, Clr2 and Clr4 in lignocellulose degradation of the thermophilic fungal platform Thermothelomyces thermophilus	Thermothelomyces thermophilus 	MJK20.3	NextSeq 500	RNA-Seq	MJK20.3_Parental_SS_R1	Glucose	45°
